timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Filename,Latency,Encoding,SampleCount,ErrorCount,Hostname,IdleTime,Connect
1741225460976,15,HTTP Request,200,OK,Teste de Carga - 500 usuários  1-1,text,true,,28865,136,1,1,https://jsonplaceholder.typicode.com/posts,,15,utf-8,1,0,DESKTOP-DE8V7BN,0,0
1741225460991,14,HTTP Request,200,OK,Teste de Carga - 500 usuários  1-1,text,true,,28865,136,1,1,https://jsonplaceholder.typicode.com/posts,,14,utf-8,1,0,DESKTOP-DE8V7BN,0,0
1741225461005,19,HTTP Request,200,OK,Teste de Carga - 500 usuários  1-1,text,true,,28864,136,1,1,https://jsonplaceholder.typicode.com/posts,,19,utf-8,1,0,DESKTOP-DE8V7BN,0,0
1741225461024,20,HTTP Request,200,OK,Teste de Carga - 500 usuários  1-1,text,true,,28865,136,1,1,https://jsonplaceholder.typicode.com/posts,,20,utf-8,1,0,DESKTOP-DE8V7BN,0,0
1741225461045,14,HTTP Request,200,OK,Teste de Carga - 500 usuários  1-1,text,true,,28865,136,1,1,https://jsonplaceholder.typicode.com/posts,,13,utf-8,1,0,DESKTOP-DE8V7BN,0,0
1741225461059,16,HTTP Request,200,OK,Teste de Carga - 500 usuários  1-1,text,true,,28865,136,1,1,https://jsonplaceholder.typicode.com/posts,,16,utf-8,1,0,DESKTOP-DE8V7BN,0,0
1741225461076,15,HTTP Request,200,OK,Teste de Carga - 500 usuários  1-1,text,true,,28865,136,1,1,https://jsonplaceholder.typicode.com/posts,,14,utf-8,1,0,DESKTOP-DE8V7BN,0,0
1741225461091,17,HTTP Request,200,OK,Teste de Carga - 500 usuários  1-1,text,true,,28866,136,1,1,https://jsonplaceholder.typicode.com/posts,,17,utf-8,1,0,DESKTOP-DE8V7BN,0,0
1741225461108,18,HTTP Request,200,OK,Teste de Carga - 500 usuários  1-1,text,true,,28866,136,1,1,https://jsonplaceholder.typicode.com/posts,,18,utf-8,1,0,DESKTOP-DE8V7BN,0,0
1741225461126,16,HTTP Request,200,OK,Teste de Carga - 500 usuários  1-1,text,true,,28866,136,1,1,https://jsonplaceholder.typicode.com/posts,,16,utf-8,1,0,DESKTOP-DE8V7BN,0,0
1741225461142,26,HTTP Request,200,OK,Teste de Carga - 500 usuários  1-1,text,true,,28866,136,1,1,https://jsonplaceholder.typicode.com/posts,,26,utf-8,1,0,DESKTOP-DE8V7BN,0,0
